portfolio composition,portfolio_name,CAGR__mean,CAGR__median,CAGR__p5,CAGR__p95,Max_Drawdown__mean,Max_Drawdown__median,Max_Drawdown__p5,Max_Drawdown__p95,Drawdown_Duration_(Days)__mean,Drawdown_Duration_(Days)__median,Drawdown_Duration_(Days)__p5,Drawdown_Duration_(Days)__p95,Sharpe_Ratio__mean,Sharpe_Ratio__median,Sharpe_Ratio__p5,Sharpe_Ratio__p95,Sortino_Ratio__mean,Sortino_Ratio__median,Sortino_Ratio__p5,Sortino_Ratio__p95,Ulcer_Index__mean,Ulcer_Index__median,Ulcer_Index__p5,Ulcer_Index__p95,Ruined__mean,Ruined__median,Ruined__p5,Ruined__p95,Probability_Of_Ruin__mean,Probability_Of_Ruin__median,Probability_Of_Ruin__p5,Probability_Of_Ruin__p95,Volatility__mean,Volatility__median,Volatility__p5,Volatility__p95
VTI w=1.00 lev=1.00,EQUITY_WORLD_100_VTI,0.13,0.13,0.03,0.23,-0.28,-0.27,-0.44,-0.18,664.12,569.0,256.0,1412.04,0.73,0.73,0.21,1.26,0.92,0.9,0.25,1.65,11.33,10.25,6.1,20.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.16,0.15,0.18
VTI w=1.00 lev=1.50,EQUITY_WORLD_100_VTI_x1_5,0.17,0.17,0.02,0.33,-0.42,-0.41,-0.61,-0.27,766.48,654.0,287.0,1667.0,0.68,0.68,0.17,1.21,0.86,0.85,0.2,1.59,17.92,16.32,9.6,32.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.23,0.27
VTI w=1.00 lev=2.00,EQUITY_WORLD_100_VTI_x2,0.22,0.21,0.01,0.44,-0.53,-0.52,-0.73,-0.35,821.07,700.0,303.0,1791.04,0.69,0.69,0.18,1.22,0.87,0.86,0.21,1.6,23.74,21.78,12.91,41.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.33,0.31,0.36
VTI w=1.00 lev=3.00,EQUITY_WORLD_100_VTI_x3,0.28,0.27,-0.02,0.66,-0.69,-0.69,-0.89,-0.5,925.49,794.5,330.95,2014.0,0.7,0.7,0.18,1.23,0.88,0.86,0.21,1.61,34.75,32.49,19.41,58.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.5,0.47,0.54
GOVT w=0.40 lev=1.00 | VTI w=0.60 lev=1.00,CLASSIC_60_40,0.08,0.08,0.03,0.14,-0.18,-0.17,-0.27,-0.11,625.53,543.5,256.95,1287.08,0.68,0.68,0.2,1.12,0.86,0.85,0.24,1.52,6.86,6.27,3.87,11.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.09,0.11
GOVT w=0.40 lev=2.00 | VTI w=0.60 lev=2.00,CLASSIC_60_40_x2_x2,0.13,0.13,0.02,0.26,-0.36,-0.35,-0.52,-0.24,805.15,699.0,319.0,1684.04,0.61,0.61,0.13,1.09,0.77,0.76,0.15,1.43,15.88,14.61,8.93,27.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.19,0.22
GOVT w=0.40 lev=1.00 | VTI w=0.60 lev=2.00,CLASSIC_60_40_VTI_x2_GOVT_spot,0.14,0.13,0.02,0.26,-0.35,-0.34,-0.51,-0.23,779.24,678.0,310.0,1624.04,0.63,0.64,0.15,1.12,0.8,0.79,0.18,1.46,15.46,14.23,8.77,26.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.19,0.22
DBC w=0.07 lev=1.00 | GLD w=0.07 lev=1.00 | IEF w=0.15 lev=1.00 | VGLT w=0.40 lev=1.00 | VTI w=0.30 lev=1.00,ALL_WEATHER,0.05,0.05,0.01,0.09,-0.15,-0.14,-0.24,-0.09,711.21,609.0,275.0,1512.04,0.5,0.5,0.01,1.0,0.66,0.65,0.01,1.36,6.05,5.41,3.18,11.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.07,0.08
DBC w=0.07 lev=2.00 | GLD w=0.07 lev=2.00 | IEF w=0.15 lev=2.00 | VGLT w=0.40 lev=2.00 | VTI w=0.30 lev=2.00,ALL_WEATHER_x2,0.07,0.07,-0.0,0.16,-0.33,-0.31,-0.5,-0.2,950.08,820.0,353.0,2015.09,0.41,0.4,-0.06,0.9,0.54,0.53,-0.08,1.21,14.71,13.23,7.51,27.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.15,0.17
DBC w=0.07 lev=3.00 | GLD w=0.07 lev=3.00 | IEF w=0.15 lev=3.00 | VGLT w=0.40 lev=3.00 | VTI w=0.30 lev=3.00,ALL_WEATHER_x3,0.09,0.09,-0.02,0.24,-0.47,-0.46,-0.68,-0.31,1040.13,910.0,390.0,2158.04,0.42,0.41,-0.05,0.91,0.55,0.54,-0.07,1.21,22.71,20.77,11.85,40.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.23,0.26
GLD w=0.20 lev=1.00 | VBR w=0.20 lev=1.00 | VGLT w=0.20 lev=1.00 | VGSH w=0.20 lev=1.00 | VTI w=0.20 lev=1.00,GOLDEN_BUTTERFLY,0.07,0.07,0.02,0.11,-0.15,-0.14,-0.23,-0.09,623.09,541.0,257.0,1288.04,0.64,0.64,0.15,1.12,0.82,0.81,0.19,1.5,5.75,5.22,3.23,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.08,0.09
GLD w=0.20 lev=1.00 | VBR w=0.20 lev=2.00 | VGLT w=0.20 lev=2.00 | VGSH w=0.20 lev=1.00 | VTI w=0.20 lev=2.00,GOLDEN_BUTTERFLY_x2_mixed,0.09,0.09,0.01,0.19,-0.29,-0.27,-0.43,-0.19,803.85,699.0,320.0,1660.04,0.55,0.56,0.08,1.03,0.7,0.69,0.1,1.34,12.47,11.39,6.97,21.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.14,0.17
