portfolio composition,portfolio_name,CAGR__mean,CAGR__median,CAGR__p5,CAGR__p95,Max_Drawdown__mean,Max_Drawdown__median,Max_Drawdown__p5,Max_Drawdown__p95,Drawdown_Duration_(Days)__mean,Drawdown_Duration_(Days)__median,Drawdown_Duration_(Days)__p5,Drawdown_Duration_(Days)__p95,Sharpe_Ratio__mean,Sharpe_Ratio__median,Sharpe_Ratio__p5,Sharpe_Ratio__p95,Sortino_Ratio__mean,Sortino_Ratio__median,Sortino_Ratio__p5,Sortino_Ratio__p95,Ulcer_Index__mean,Ulcer_Index__median,Ulcer_Index__p5,Ulcer_Index__p95,Ruined__mean,Ruined__median,Ruined__p5,Ruined__p95,Probability_Of_Ruin__mean,Probability_Of_Ruin__median,Probability_Of_Ruin__p5,Probability_Of_Ruin__p95
VWCE.MI w=1.000000 lev=1.000000,EQUITY_WORLD_100_VWCE,0.1090832585586673,0.1081312857420304,0.0170690709499746,0.2047092750658066,-0.3025204908628591,-0.2883503723526128,-0.4652576411139225,-0.1882813283960216,764.4521,652.0,281.0,1671.0499999999993,0.5444285094331298,0.5453263708871076,0.0197551392684663,1.0698976566841565,0.6504027937433626,0.642181847130572,0.0224466849895627,1.3092653637975802,12.39585967669347,11.038768039294546,6.371595096631765,23.134689250222674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWCE.MI w=1.000000 lev=1.500000,EQUITY_WORLD_100_VWCE_x1_5,0.1295557570790739,0.1269209304428395,-0.0093971151655613,0.2776743219090209,-0.4449725068773196,-0.4301738737165831,-0.656239158318758,-0.2861166229674417,910.4498,775.0,326.95000000000005,1997.0499999999995,0.5005767936471599,0.5017404590110472,-0.0243059655231465,1.024866860757592,0.5988534457353897,0.5908352737042086,-0.0277992268177127,1.255237735891621,20.08246651250597,18.04929726491487,10.202833725002868,37.51416865147212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWCE.MI w=1.000000 lev=2.000000,EQUITY_WORLD_100_VWCE_x2,0.1539275974856955,0.1488544279349503,-0.033573066853693,0.3588211101280861,-0.556622729823363,-0.5452390329039838,-0.780714891053472,-0.3719570774752653,986.0629,849.0,352.0,2134.05,0.5069225001553864,0.508144305756481,-0.0179037120725063,1.03132086811393,0.6068165889572488,0.5991919763602996,-0.0203014598488407,1.2644721791115934,26.741778086140386,24.35879470290313,13.823792394486803,48.48657443893553,0.0004,0.0,0.0,0.0,0.0004,0.0004,0.0004,0.0004
VWCE.MI w=1.000000 lev=3.000000,EQUITY_WORLD_100_VWCE_x3,0.181913694349054,0.1698964796603741,-0.1000085081105546,0.5044800327871194,-0.7254701050173495,-0.726666228812334,-0.9227918560648478,-0.5250857097422128,1124.1266,987.5,395.0,2331.0,0.5132670690588835,0.5145437560202107,-0.0116825450699923,1.03749621519721,0.6145417217841143,0.6072124217825434,-0.0132324511994523,1.2730760073243053,39.03396550251102,36.53536023063547,21.09378302110953,66.08560409383719,0.0263,0.0,0.0,0.0,0.0263,0.0263,0.0263,0.0263
IGLA.L w=0.400000 lev=1.000000 | VWCE.MI w=0.600000 lev=1.000000,CLASSIC_60_40,0.0589678821367514,0.05818610828185,0.0041453423867377,0.115190882982648,-0.2145783142814139,-0.2032416319225664,-0.3365751444771979,-0.1308274121839541,848.4105,726.0,318.0,1814.0999999999983,0.333019922230857,0.3312299563101322,-0.1707254816529706,0.8325699509705212,0.4046090041877135,0.3946737460873628,-0.1982123474468146,1.0264981621397455,9.016800015538765,7.9769532456035535,4.592138648184841,17.1108212953585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGLA.L w=0.400000 lev=2.000000 | VWCE.MI w=0.600000 lev=2.000000,CLASSIC_60_40_x2_x2,0.06741117072501,0.0640475261809269,-0.0422959971556304,0.1861447999181139,-0.4415589551935918,-0.427067479408581,-0.6498500261323984,-0.2820944374820122,1156.1062,1028.0,426.9500000000001,2312.0,0.2724433216201446,0.2710323833838525,-0.2338207234796676,0.7728026695469109,0.3322869307918328,0.3243466513896264,-0.2708039327656288,0.9534193872141372,21.960312240525617,19.86927318765511,11.080861792122668,40.216555032689264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGLA.L w=0.400000 lev=1.000000 | VWCE.MI w=0.600000 lev=2.000000,CLASSIC_60_40_VWCE_x2_IGLA_spot,0.0903563076361071,0.0866251342547033,-0.0175648719383399,0.2075792610605904,-0.3971600715011825,-0.3826890134581904,-0.5851993011238029,-0.2584692455626477,1008.5836,875.0,377.0,2103.05,0.3781590248577419,0.3754273601059497,-0.1261973375694704,0.8760909119588614,0.4536076180809464,0.4433578146880692,-0.1432410595224011,1.0703473965377668,18.822706097013324,17.036725998871617,9.891307169423865,34.06170363777687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GC=F w=0.075000 lev=1.000000 | LTPZ w=0.150000 lev=1.000000 | PDBC w=0.075000 lev=1.000000 | UTHY w=0.400000 lev=1.000000 | VWCE.MI w=0.300000 lev=1.000000,ALL_WEATHER,0.0650145610355301,0.0642643713715753,0.0195401845367975,0.1120768703572593,-0.1595613897129975,-0.1509170347826264,-0.2489429514743039,-0.0982049000028631,663.9243,569.0,258.0,1410.0,0.2113872968136186,0.2065858859169698,-0.2947449469506829,0.7225778378609292,0.2994768623913215,0.2888472027089467,-0.4073647304119219,1.028594263613514,6.037381570251213,5.402297704269021,3.222943849282555,10.955551817815838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GC=F w=0.075000 lev=2.000000 | LTPZ w=0.150000 lev=2.000000 | PDBC w=0.075000 lev=2.000000 | UTHY w=0.400000 lev=2.000000 | VWCE.MI w=0.300000 lev=2.000000,ALL_WEATHER_x2,0.06468133836079,0.0631563815854285,-0.0231047397605649,0.1571950828831835,-0.3562440312335106,-0.3417404642658457,-0.5436050639155487,-0.2195664175829071,1037.3877,906.0,378.0,2149.0,0.1622035157127217,0.161605997194172,-0.3363581418187787,0.6600271350194374,0.2291920638698418,0.2240204218387751,-0.4586380590697501,0.9339536097897828,16.423939653864053,14.64335051092484,8.109973302228758,31.14265158855018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GC=F w=0.075000 lev=3.000000 | LTPZ w=0.150000 lev=3.000000 | PDBC w=0.075000 lev=3.000000 | UTHY w=0.400000 lev=3.000000 | VWCE.MI w=0.300000 lev=3.000000,ALL_WEATHER_x3,0.0806755333403489,0.0771370420927585,-0.0494283293857237,0.221889220964714,-0.4960509684574897,-0.4814298727157391,-0.7117912495271801,-0.3220339320124259,1125.9018,999.0,406.0,2277.0,0.2317547756197651,0.2305252577774743,-0.2574128696956207,0.7210780636292934,0.3224765030324482,0.3158884410011573,-0.3504823455688935,1.0116563845791982,24.52502067175256,22.218775734861985,12.437859288811827,44.49632104583616,0.0002,0.0,0.0,0.0,0.0002,0.0002,0.0002,0.0002
